Order_ID,Customer_ID,Product_ID,Store_ID,Order_Date,Quantity,Discount
1,6843,174,95,2026-05-03,3.0,0.25
2,6921,892,17,2026-05-02,6.0,0.1
3,64,1981,2,2025-04-25,9.0,0.12
4,5312,916,27,2025-10-05,2.0,0.09
5,5426,1604,37,2025-11-23,10.0,0.18
6,2565,1381,16,2026-02-24,4.0,0.21
7,1868,1687,21,2026-03-09,9.0,0.08
8,4965,997,92,2025-04-04,9.0,0.21
9,435,186,57,2025-01-14,1.0,0.14
10,1028,1399,92,2025-10-18,2.0,0.19
11,3674,830,10,2025-09-03,6.0,0.01
12,7160,1594,73,2025-11-05,5.0,0.17
13,5725,1887,37,2025-06-27,2.0,0.19
14,2568,1462,45,2025-06-03,4.0,0.24
15,1655,1311,28,2026-05-10,9.0,0.05
16,6633,967,92,2026-01-03,9.0,0.26
17,4701,1137,16,2025-08-02,8.0,0.01
18,3397,1814,42,2026-01-23,3.0,0.08
19,7788,1457,61,2025-04-09,8.0,0.25
20,4241,1148,17,2025-03-08,6.0,0.25
21,7863,77,87,2026-06-19,8.0,0.24
22,598,1910,93,2025-01-03,5.0,0.15
23,990,238,54,2025-05-03,10.0,0.02
24,2112,522,49,2025-03-25,7.0,0.29
25,7015,1034,31,2025-03-03,10.0,0.23
26,2976,1639,39,2025-06-26,8.0,0.22
27,7153,1881,63,2025-08-06,5.0,0.29
28,7515,1120,84,2025-12-11,9.0,0.29
29,1976,1018,93,2026-05-10,3.0,0.29
30,5528,1718,94,2026-05-23,9.0,0.14
31,3841,1148,72,2025-05-04,1.0,0.19
32,1985,354,43,2025-04-08,6.0,0.05
33,6786,64,71,2025-06-17,9.0,0.23
34,3958,1171,75,2025-03-03,7.0,0.18
35,3375,1491,3,2025-06-01,7.0,0.16
36,7460,1473,27,2025-08-09,6.0,0.25
37,3764,130,53,2025-11-11,6.0,0.12
38,1095,1997,14,2025-01-02,9.0,0.25
39,5595,1526,61,2025-01-10,4.0,0.25
40,6905,44,58,2025-02-17,10.0,0.24
41,4262,1591,8,2026-06-25,8.0,0.19
42,7529,1462,91,2026-03-22,7.0,0.23
43,1842,337,5,2026-05-26,10.0,0.24
44,4675,1975,66,2025-08-29,1.0,0.08
45,4865,317,87,2026-03-22,5.0,0.15
46,4431,902,53,2025-06-30,5.0,0.18
47,486,1746,61,2025-10-21,6.0,0.2
48,6653,697,51,2025-11-21,5.0,0.13
49,3858,810,47,2025-10-10,7.0,0.03
50,4177,329,65,2025-04-16,10.0,0.13
51,2224,1021,62,2025-12-25,10.0,0.0
52,1588,630,43,2025-05-16,1.0,0.23
53,1523,896,23,2026-02-11,1.0,0.18
54,478,444,17,2026-02-03,4.0,0.2
55,2829,352,48,2026-03-30,5.0,0.07
56,5012,1865,92,2025-02-03,1.0,0.3
57,6173,1588,34,2025-02-10,8.0,0.22
58,2745,178,56,2026-06-12,4.0,0.1
59,2227,953,52,2026-05-06,3.0,0.11
60,2807,1451,72,2025-07-24,3.0,0.14
61,4863,51,8,2026-01-02,10.0,0.25
62,3273,1482,99,2026-02-22,4.0,0.18
63,1591,279,64,2026-03-21,4.0,0.07
64,1062,307,69,2025-12-30,5.0,0.21
65,6336,1939,99,2026-06-17,3.0,0.07
66,7334,1611,29,2026-05-25,3.0,0.2
67,2761,1538,75,2025-08-01,3.0,0.03
68,6635,470,92,2026-04-28,4.0,0.25
69,57,1113,89,2025-11-16,1.0,0.04
70,2057,1917,5,2025-07-29,4.0,0.22
71,2189,405,25,2025-08-27,1.0,0.27
72,5594,254,81,2026-06-11,4.0,0.06
73,3008,817,82,2025-03-26,5.0,0.04
74,7298,1122,81,2025-01-13,8.0,0.08
75,3604,207,76,2026-06-21,4.0,0.24
76,6167,1916,88,2025-04-27,6.0,0.14
77,4681,1350,50,2025-01-17,7.0,0.27
78,2424,757,91,2026-01-01,7.0,0.09
79,786,753,63,2025-08-16,3.0,0.14
80,3565,593,4,2025-11-27,3.0,0.06
81,5155,1688,58,2025-07-22,3.0,0.19
82,3512,1070,68,2026-01-07,10.0,0.19
83,5946,1970,17,2026-06-23,5.0,0.3
84,5208,1645,74,2025-02-08,4.0,0.07
85,5027,1865,78,2026-04-25,8.0,0.27
86,7066,446,87,2025-08-05,9.0,0.02
87,188,488,22,2025-04-07,6.0,0.18
88,6206,1192,87,2026-03-07,6.0,0.29
89,6385,166,88,2025-01-31,6.0,0.04
90,3246,893,56,2026-06-21,1.0,0.12
91,3304,1324,59,2025-08-17,1.0,0.3
92,3421,965,12,2025-11-01,8.0,0.25
93,5559,1090,55,2025-09-10,10.0,0.04
94,2936,1484,79,2025-04-02,10.0,0.27
95,1894,1081,43,2025-07-09,1.0,0.09
96,3123,346,20,2025-04-16,8.0,0.1
97,6221,821,31,2026-03-29,10.0,0.09
98,5544,850,30,2025-09-21,10.0,0.18
99,2368,15,26,2025-12-23,10.0,0.1
100,3398,742,56,2026-01-12,5.0,0.06
101,477,1052,63,2025-08-11,8.0,0.01
102,6049,1746,12,2025-01-17,3.0,0.2
103,7701,418,49,2026-01-21,8.0,0.07
104,2875,1507,50,2026-04-18,3.0,0.06
105,1393,1940,94,2025-07-29,3.0,0.09
106,3703,549,73,2025-08-07,9.0,0.18
107,3491,1368,51,2025-01-06,2.0,0.24
108,1015,69,78,2025-01-11,10.0,0.09
109,3530,812,93,2025-01-24,9.0,0.22
110,7997,1759,96,2025-06-07,4.0,0.12
111,7570,1548,58,2025-07-22,5.0,0.2
112,2928,1258,47,2025-10-14,9.0,0.03
113,6513,120,79,2025-01-24,7.0,0.18
114,793,1882,54,2025-10-27,8.0,0.27
115,5231,1945,72,2025-04-21,6.0,0.0
